~Version	Information	Section															
	VERS.	3.0	:														
	WRAP.	NO	:														
	DLM	.	Comma	:													
	MERG.	YES	:Data	merged	using	LAS	tools	(www.logtechcan.com)									
~Well	Information	Section															
#MNEM.UNIT	VALUE/NAME	DESCRIPTION															
#----.----	----------------------------------	--------------------															
	STRT.M	1720.4000	:														
	STOP.M	2382.8000	:														
	STEP.M	0.2000	:														
	NULL.	-999.2500	:														
	COMP.	:															
	WELL.	1551	:														
	FLD	.	:														
	LOC	.	:														
	SRVC.	:															
	DATE.	Sep	21/2016	:													
	CTRY.	:															
	PROV.	:															
	UWI	.	:														
	LIC	.	:														
	LATI.	:															
	LONG.	:															
	GDAT.	NAD83	:														
~Curve	Information	Section															
#MNEM	.UNIT	API	CODE	CURVE	DESCRIPTION												
#----	.----	LG--CV-CL--M	-------------------------														
	1753.6000	39.4715	окт.69	1596.5981													
	1753.8000	39.3886	окт.28	1596.7890													
	1754.0000	39.1697	сен.82	1596.9800													
	1754.2000	37.1127	сен.33	1597.1713													
	1754.4000	36.2407	авг.95	1597.3626													
	1754.6000	36.9528	8.1887	1597.5539													
	1754.8000	37.2156	июл.77	1597.7452													
	1755.0000	37.3446	июл.25	1597.9365													
	1755.2000	37.4528	июл.11	1598.1279													
	1755.4000	37.4905	авг.96	1598.3192													
	1755.6000	37.4603	сен.88	1598.5105													
	1755.8000	37.4645	окт.01	1598.7018													
	1756.0000	37.6238	12.0479	1598.8931													
	1756.2000	37.9809	13.8439	1599.0844													
	1756.4000	38.4618	15.7335	1599.2757													
	1756.6000	38.9071	17.5856	1599.4670													
	1756.8000	39.1466	19.2603	1599.6583													
	1757.0000	39.0760	20.6107	1599.8496													
	1757.2000	38.6999	21.5095	1600.0410													
	1757.4000	38.1284	21.8913	1600.2323													
	1757.6000	37.5426	21.7831	1600.4236													
	1757.8000	37.1597	21.2974	1600.6149													
	1758.0000	37.1958	20.5854	1600.8062													
	1758.2000	37.7981	19.7744	1600.9975													
	1758.4000	38.9553	18.9353	1601.1888													
	1758.6000	40.5391	18.0919	1601.3801													
	1758.8000	42.6049	17.2496	1601.5714													
	1759.0000	40.5007	16.4499	1601.7627													
	1759.2000	40.7779	15.7601	1601.9540													
	1759.4000	40.8551	14.9761	1602.1454													
	1759.6000	40.1819	14.0376	1602.3367													
	1759.8000	39.0467	13.3024	1602.5280													
	1760.0000	37.8554	13.1549	1602.7193													
	1760.2000	36.8552	13.7257	1602.9106													
	1760.4000	36.1262	14.9017	1603.1019													
	1760.6000	35.6738	16.4601	1603.2932													
	1760.8000	35.5092	18.1703	1603.4845													
	1761.0000	35.6632	19.8222	1603.6758													
	1761.2000	36.1452	21.2135	1603.8671													
	1761.4000	36.8939	22.1445	1604.0585													
	1761.6000	37.7626	22.4516	1604.2498													
	1761.8000	38.5540	22.0593	1604.4411													
	1762.0000	39.0854	21.0174	1604.6324													
	1762.2000	39.2537	19.4976	1604.8237													
	1762.4000	39.0698	17.7493	1605.0150													
	1762.6000	38.6428	16.0466	1605.2063													
	1762.8000	38.1387	14.6478	1605.3976													
	1763.0000	37.7500	13.7357	1605.5889													
	1763.2000	37.5347	13.3127	1605.7802													
	1763.4000	36.3119	13.2253	1605.9715													
	1763.6000	37.6902	13.8429	1606.1629													
	1763.8000	37.0830	15.7663	1606.3542													
	1764.0000	36.6795	18.0320	1606.5455													
	1764.2000	36.6344	20.3542	1606.7368													
	1764.4000	36.8401	22.5587	1606.9281													
	1764.6000	37.1542	24.4321	1607.1194													
	1764.8000	37.4796	25.7337	1607.3107													
	1765.0000	37.7537	26.2875	1607.5020													
	1765.2000	37.9293	26.0563	1607.6933													
	1765.4000	37.9901	25.1491	1607.8846													
	1765.6000	37.9771	23.7728	1608.0760													
	1765.8000	37.9807	22.1656	1608.2673													
	1766.0000	38.0910	20.5524	1608.4586													
	1766.2000	38.3360	19.1254	1608.6499													
	1766.4000	38.6547	18.0349	1608.8412													
	1766.6000	38.9310	17.3772	1609.0325													
	1766.8000	39.0705	17.1772	1609.2238													
	1767.0000	39.0406	17.3841	1609.4151													
	1767.2000	38.7841	17.8893	1609.6064													
	1767.4000	38.0397	18.5688	1609.7977													
	1767.6000	36.3898	19.3238	1609.9890													
	1767.8000	34.0585	20.1005	1610.1804													
	1768.0000	33.4920	20.8801	1610.3717													
	1768.2000	38.0984	21.6521	1610.5630													
	1768.4000	39.3569	22.3349	1610.7543													
	1768.6000	40.0392	22.7198	1610.9456													
	1768.8000	40.4080	22.6213	1611.1369													
	1769.0000	40.4843	22.0330	1611.3282													
	1769.2000	40.4048	21.0807	1611.5195													
	1769.4000	40.3102	19.9136	1611.7108													
	1769.6000	40.2630	18.6421	1611.9021													
	1769.8000	40.2573	17.3278	1612.0934													
	1770.0000	40.2596	16.0017	1612.2848													
	1770.2000	40.2404	14.6812	1612.4760													
	1770.4000	40.1895	13.3882	1612.6670													
	1770.6000	40.1172	12.1645	1612.8578													
	1770.8000	40.0393	11.0799	1613.0484													
	1771.0000	39.9516	окт.79	1613.2387													
	1771.2000	39.8097	сен.28	1613.4286													
	1771.4000	39.5250	сен.39	1613.6182													
	1771.6000	38.9543	сен.19	1613.8078													
	1771.8000	37.8527	окт.95	1613.9972													
	1772.0000	35.8494	11.0177	1614.1867													
	1772.2000	32.9416	ноя.07	1614.3761													
	1772.4000	33.4227	дек.53	1614.5656													
	1772.6000	33.1974	13.2675	1614.7550													
	1772.8000	33.4080	14.0189	1614.9444													
	1773.0000	33.4850	14.7666	1615.1339													
	1773.2000	33.4939	15.4990	1615.3233													
	1773.4000	33.5636	16.1878	1615.5128													
	1773.6000	33.7038	16.7819	1615.7022													
	1773.8000	33.8401	17.1986	1615.8916													
	1774.0000	33.9032	17.3102	1616.0811													
	1774.2000	33.8996	16.9412	1616.2706													
	1774.4000	33.9291	15.9062	1616.4600													
	1774.6000	34.1335	14.1047	1616.6494													
	1774.8000	34.6005	ноя.21	1616.8389													
	1775.0000	35.2797	авг.45	1617.0283													
	1775.2000	35.9777	июн.01	1617.2177													
	1775.4000	36.4565	апр.09	1617.4072													
	1775.6000	36.5606	мар.22	1617.5967													
	1775.8000	36.1990	мар.01	1617.7861													
	1776.0000	35.0470	мар.43	1617.9756													
	1776.2000	33.6053	мар.94	1618.1650													
	1776.4000	33.4517	мар.15	1618.3544													
	1776.6000	33.0715	мар.26	1618.5439													
	1776.8000	32.8498	мар.22	1618.7333													
	1777.0000	32.8665	мар.45	1618.9228													
	1777.2000	33.0488	мар.53	1619.1122													
	1777.4000	33.2849	мар.58	1619.3017													
	1777.6000	33.4732	мар.41	1619.4911													
	1777.8000	33.5571	мар.08	1619.6806													
	1778.0000	33.5509	4.1352	1619.8700													
	1778.2000	33.5344	апр.81	1620.0594													
	1778.4000	33.6049	апр.33	1620.2489													
	1778.6000	33.8087	апр.93	1620.4383													
	1778.8000	34.1061	5.0001	1620.6278													
	1779.0000	34.4006	5.1366	1620.8172													
	1779.2000	34.6049	май.65	1621.0067													
